time,tl_id,current_phase,current_demand,best_phase,best_demand,action
432,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
435,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
438,cluster_1345077844_2589681474_8228683608_8228683609,6,6,6,11,CHANGE
441,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
444,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
447,cluster_1345077844_2589681474_8228683608_8228683609,4,8,0,9,HOLD
450,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,10,CHANGE
453,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
456,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
459,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,9,HOLD
462,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,10,CHANGE
465,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
468,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
471,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
474,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
477,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
480,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
483,cluster_1345077844_2589681474_8228683608_8228683609,4,6,4,9,CHANGE
486,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
489,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,9,CHANGE
492,cluster_1345077844_2589681474_8228683608_8228683609,6,7,4,8,HOLD
495,cluster_1345077844_2589681474_8228683608_8228683609,0,5,0,8,CHANGE
498,cluster_1345077844_2589681474_8228683608_8228683609,0,7,4,9,HOLD
501,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
504,cluster_1345077844_2589681474_8228683608_8228683609,4,9,4,9,HOLD
507,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
510,cluster_1345077844_2589681474_8228683608_8228683609,6,8,0,10,HOLD
