time,tl_id,current_phase,queue_len,action,camera_detected
439,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
442,cluster_1345077844_2589681474_8228683608_8228683609,4,6,HOLD,0
445,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
448,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
451,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
454,cluster_1345077844_2589681474_8228683608_8228683609,6,5,HOLD,0
457,cluster_1345077844_2589681474_8228683608_8228683609,6,5,CHANGE_DEMAND,0
460,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
463,cluster_1345077844_2589681474_8228683608_8228683609,0,7,HOLD,0
466,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,0
469,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND,0
472,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
475,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
478,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
481,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
484,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
487,cluster_1345077844_2589681474_8228683608_8228683609,4,7,HOLD,0
490,cluster_1345077844_2589681474_8228683608_8228683609,4,6,HOLD,0
493,cluster_1345077844_2589681474_8228683608_8228683609,4,5,CHANGE_DEMAND,0
496,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
499,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
502,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
505,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
508,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
511,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
514,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
517,cluster_1345077844_2589681474_8228683608_8228683609,0,7,CHANGE_DEMAND,0
520,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
523,cluster_1345077844_2589681474_8228683608_8228683609,6,8,HOLD,0
526,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
529,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
532,cluster_1345077844_2589681474_8228683608_8228683609,0,9,HOLD,0
535,cluster_1345077844_2589681474_8228683608_8228683609,0,8,HOLD,0
538,cluster_1345077844_2589681474_8228683608_8228683609,0,6,HOLD,0
541,cluster_1345077844_2589681474_8228683608_8228683609,0,5,CHANGE_DEMAND,0
544,cluster_1345077844_2589681474_8228683608_8228683609,6,10,HOLD,0
547,cluster_1345077844_2589681474_8228683608_8228683609,6,7,HOLD,0
550,cluster_1345077844_2589681474_8228683608_8228683609,6,6,HOLD,0
553,cluster_1345077844_2589681474_8228683608_8228683609,6,6,CHANGE_DEMAND,0
556,cluster_1345077844_2589681474_8228683608_8228683609,4,8,HOLD,0
